epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
132,1789,0.56212,0.80339,0.93558,0.98666,1,0.995,0.93259,0.37808,0.99063,0.74465,0.0008124,0.0002708,0.0008124,0.0002708,0.0008124,0.0002708,0.0008124,0.0002708
133,1803.3,0.57334,0.78411,0.9592,0.98666,1,0.995,0.93259,0.37808,0.99063,0.74465,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
134,1817.05,0.45334,1.02527,0.97775,0.98666,1,0.995,0.93259,0.37808,0.99063,0.74465,0.0007332,0.0002444,0.0007332,0.0002444,0.0007332,0.0002444,0.0007332,0.0002444
135,1831.57,0.45712,0.76355,0.87039,0.98431,1,0.995,0.93259,0.37598,0.98822,0.74209,0.0006936,0.0002312,0.0006936,0.0002312,0.0006936,0.0002312,0.0006936,0.0002312
136,1845.6,0.51011,0.88962,0.92839,0.98431,1,0.995,0.93259,0.37598,0.98822,0.74209,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
137,1860.2,0.56329,1.03091,0.997,0.98351,1,0.995,0.96379,0.37846,0.98522,0.7411,0.0006144,0.0002048,0.0006144,0.0002048,0.0006144,0.0002048,0.0006144,0.0002048
138,1874.46,0.49798,0.79576,0.91675,0.98351,1,0.995,0.96379,0.37846,0.98522,0.7411,0.0005748,0.0001916,0.0005748,0.0001916,0.0005748,0.0001916,0.0005748,0.0001916
139,1888.26,0.48524,0.75685,0.87842,0.98351,1,0.995,0.96379,0.37846,0.98522,0.7411,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
140,1902.74,0.51927,0.91656,0.90909,0.98272,1,0.995,0.96379,0.37948,0.97693,0.74035,0.0004956,0.0001652,0.0004956,0.0001652,0.0004956,0.0001652,0.0004956,0.0001652
141,1917.95,0.42861,1.095,0.88205,0.98272,1,0.995,0.96379,0.37948,0.97693,0.74035,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
142,1931.5,0.39363,1.17635,0.87527,0.98272,1,0.995,0.96379,0.37948,0.97693,0.74035,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
143,1946.78,0.40684,1.08734,0.84429,0.97907,1,0.995,0.96379,0.38216,0.95555,0.73812,0.0003768,0.0001256,0.0003768,0.0001256,0.0003768,0.0001256,0.0003768,0.0001256
144,1960.5,0.46727,1.21452,0.85397,0.97907,1,0.995,0.96379,0.38216,0.95555,0.73812,0.0003372,0.0001124,0.0003372,0.0001124,0.0003372,0.0001124,0.0003372,0.0001124
145,1978.25,0.49953,1.2367,0.87109,0.97875,1,0.995,0.96379,0.38407,0.94871,0.73652,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
146,1992.83,0.41578,1.24623,0.8455,0.97875,1,0.995,0.96379,0.38407,0.94871,0.73652,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05
147,2006.87,0.42174,1.0896,0.84372,0.97875,1,0.995,0.96379,0.38407,0.94871,0.73652,0.0002184,7.28e-05,0.0002184,7.28e-05,0.0002184,7.28e-05,0.0002184,7.28e-05
148,2020.86,0.46671,1.34661,0.85717,0.97749,1,0.995,0.92031,0.38407,0.95372,0.73582,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
149,2036.18,0.37245,1.11608,0.8715,0.97749,1,0.995,0.92031,0.38407,0.95372,0.73582,0.0001392,4.64e-05,0.0001392,4.64e-05,0.0001392,4.64e-05,0.0001392,4.64e-05
150,2050.06,0.45374,1.16961,0.81939,0.97749,1,0.995,0.92031,0.38407,0.95372,0.73582,9.96e-05,3.32e-05,9.96e-05,3.32e-05,9.96e-05,3.32e-05,9.96e-05,3.32e-05
