epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,325.505,0.79664,1.58458,1.01417,0.77017,1,0.945,0.76253,0.57011,1.84702,0.79244,0.00442704,0.00147568,0.00442704,0.00147568,0.00442704,0.00147568,0.00442704,0.00147568
32,335.892,0.86919,1.56013,1.05582,0.77017,1,0.945,0.76253,0.57011,1.84702,0.79244,0.00453378,0.00151126,0.00453378,0.00151126,0.00453378,0.00151126,0.00453378,0.00151126
33,346.732,0.88013,1.73347,1.11483,0.7717,1,0.945,0.81715,0.57398,1.67331,0.78536,0.00463814,0.00154605,0.00463814,0.00154605,0.00463814,0.00154605,0.00463814,0.00154605
34,357.214,0.79775,1.46223,1.02714,0.7717,1,0.945,0.81715,0.57398,1.67331,0.78536,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
35,367.8,0.80345,1.42953,0.97898,0.7717,1,0.945,0.81715,0.57398,1.67331,0.78536,0.0046536,0.0015512,0.0046536,0.0015512,0.0046536,0.0015512,0.0046536,0.0015512
36,378.885,0.90115,1.43188,1.14222,0.77584,1,0.945,0.82511,0.58512,1.60112,0.78296,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
37,389.314,0.73363,1.48411,1.03699,0.77584,1,0.945,0.82511,0.58512,1.60112,0.78296,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
38,399.911,0.80272,1.56062,0.99697,0.77584,1,0.945,0.82511,0.58512,1.60112,0.78296,0.0045348,0.0015116,0.0045348,0.0015116,0.0045348,0.0015116,0.0045348,0.0015116
39,410.616,0.78139,1.42478,1.08096,0.797,1,0.995,0.88259,0.5521,1.63415,0.78462,0.0044952,0.0014984,0.0044952,0.0014984,0.0044952,0.0014984,0.0044952,0.0014984
40,420.937,0.73643,1.46843,1.0489,0.797,1,0.995,0.88259,0.5521,1.63415,0.78462,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
41,431.753,0.72737,1.43753,1.00248,0.79305,1,0.995,0.87011,0.554,1.65892,0.79289,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
42,443.432,0.77904,1.31981,1.0149,0.79305,1,0.995,0.87011,0.554,1.65892,0.79289,0.0043764,0.0014588,0.0043764,0.0014588,0.0043764,0.0014588,0.0043764,0.0014588
43,454.243,0.85395,1.60791,1.10811,0.79305,1,0.995,0.87011,0.554,1.65892,0.79289,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
